dataset,building_id,name,zone_code,source_facility_id,source_facility_name,type,is_hazard,personnel,confidence,status,source,precisionLevel,needsDesktopRefinement,remark,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_building_footprint,BLD_E_002,中东塔器罐组,E,tw-center,中东塔器与罐组区,tank,1,4,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,901,453.6,-234.246,-83.512,118.78954818,32.03592526,Polygon,"{""type"":""Polygon"",""coordinates"":[[[868.6,411.6],[933.4,411.6],[933.4,495.6],[868.6,495.6],[868.6,411.6]]]}"
park_building_footprint,BLD_E_003,中东南侧厂房,E,tw-center,中东塔器与罐组区,production,1,16,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,901,579.6,-234.246,-350.682,118.78954818,32.03479339,Polygon,"{""type"":""Polygon"",""coordinates"":[[[865,537.6],[937,537.6],[937,621.6],[865,621.6],[865,537.6]]]}"
park_building_footprint,BLD_G_001,东北西侧储罐组,G,pb-north-tank,东北罐组与管汇区,tank,1,2,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1015.8,318.3,-59.476,203.378,118.79076475,32.03714068,Polygon,"{""type"":""Polygon"",""coordinates"":[[[976.8,279.2],[1054.8,279.2],[1054.8,357.4],[976.8,357.4],[976.8,279.2]]]}"
park_building_footprint,BLD_G_002,东北东侧储罐组,G,pb-north-tank,东北罐组与管汇区,tank,1,2,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1135.4,318.3,122.602,203.378,118.79203219,32.03714068,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1091.2,279.2],[1179.6,279.2],[1179.6,357.4],[1091.2,357.4],[1091.2,279.2]]]}"
park_building_footprint,BLD_G_003,东北管汇装卸区,G,pb-north-tank,东北罐组与管汇区,utility,1,4,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1086,386.3,47.396,59.191,118.79150869,32.03652982,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1002.8,371],[1169.2,371],[1169.2,401.6],[1002.8,401.6],[1002.8,371]]]}"
park_building_footprint,BLD_F_001,东南主生产厂房,F,pb-mid-process,东中生产与污水装置区,production,1,28,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1086,452.48,47.396,-81.137,118.79150869,32.03593532,Polygon,"{""type"":""Polygon"",""coordinates"":[[[976.8,436.24],[1195.2,436.24],[1195.2,468.72],[976.8,468.72],[976.8,436.24]]]}"
park_building_footprint,BLD_F_002,东南设备区,F,pb-mid-process,东中生产与污水装置区,utility,1,8,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1034,501.2,-31.768,-184.443,118.79095763,32.03549766,Polygon,"{""type"":""Polygon"",""coordinates"":[[[987.2,484.96],[1080.8,484.96],[1080.8,517.44],[987.2,517.44],[987.2,484.96]]]}"
park_building_footprint,BLD_F_003,东南辅助厂房,F,pb-mid-process,东中生产与污水装置区,warehouse,0,16,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1148.4,501.2,142.393,-184.443,118.79216996,32.03549766,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1106.8,484.96],[1190,484.96],[1190,517.44],[1106.8,517.44],[1106.8,484.96]]]}"
park_building_footprint,BLD_J_001,南侧小罐组,J,fs-east-yard,东侧应急与装卸边界区,tank,1,2,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1030,571.28,-37.858,-333.04,118.79091524,32.03486813,Polygon,"{""type"":""Polygon"",""coordinates"":[[[995.04,553.64],[1064.96,553.64],[1064.96,588.92],[995.04,588.92],[995.04,553.64]]]}"
park_building_footprint,BLD_J_002,南侧装置区,J,fs-east-yard,东侧应急与装卸边界区,production,1,8,low,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1030,625.46,-37.858,-447.923,118.79091524,32.03438142,Polygon,"{""type"":""Polygon"",""coordinates"":[[[998.72,609.08],[1061.28,609.08],[1061.28,641.84],[998.72,641.84],[998.72,609.08]]]}"
park_building_footprint,BLD_H_001,东侧仓储建筑一,H,wh-logistics,东南仓储物流区,warehouse,0,24,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1112.4,562.46,87.587,-314.338,118.79178846,32.03494736,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1090,548.6],[1134.8,548.6],[1134.8,576.32],[1090,576.32],[1090,548.6]]]}"
park_building_footprint,BLD_H_002,东侧仓储建筑二,H,wh-logistics,东南仓储物流区,warehouse,0,18,high,confirmed,s3m_oblique_manual_interpretation_draft,building_footprint_draft,false,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1179.6,562.46,189.891,-314.338,118.7925006,32.03494736,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1157.2,548.6],[1202,548.6],[1202,576.32],[1157.2,576.32],[1157.2,548.6]]]}"
park_building_footprint,BLD_H_003,东侧辅助建筑一,H,wh-logistics,东南仓储物流区,office,0,20,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1112.4,616.64,87.587,-429.221,118.79178846,32.03446065,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1090,601.52],[1134.8,601.52],[1134.8,631.76],[1090,631.76],[1090,601.52]]]}"
park_building_footprint,BLD_H_004,东侧辅助建筑二,H,wh-logistics,东南仓储物流区,utility,0,12,medium,pending,s3m_oblique_manual_interpretation_draft,building_footprint_draft,true,基于三维斜视图和设施区底稿自动切分的建筑单体草稿，需在 iDesktopX 中对照三维瓦片最终校核。,1179.6,616.64,189.891,-429.221,118.7925006,32.03446065,Polygon,"{""type"":""Polygon"",""coordinates"":[[[1157.2,601.52],[1202,601.52],[1202,631.76],[1157.2,631.76],[1157.2,601.52]]]}"
